,Employer,Cash,Equipment,Scholarship,Stipend,Other,Paid Internships,Total,Contact First Name,Contact Last Name,Contact Email,Contact Phone
284,Keller Williams Westland Realty,0,0,0,0,0,1404,0,,,,
285,Ken's Stakes and Supplies,0,0,0,0,0,0,0,,,,
286,Kings Canyon National Park,0,0,0,0,0,0,0,,,,
287,Kings County Administration,0,0,0,0,0,0,0,,,,
288,Kings County Club,0,0,0,0,0,0,0,,,,
289,Kings County Economic Development Corporation,0,0,0,0,0,0,0,,,,
290,Kings County Job Training Office,0,0,0,0,0,0,0,,,,
291,Kings County Office of Education - ROP,0,0,0,0,0,0,0,,,,
292,"Kings Mortgage Services, Inc.",0,0,0,0,0,0,0,,,,
293,Kings River Admin,0,0,0,0,0,0,0,,,,
294,Kings River Produce,0,0,0,0,0,0,0,,,,
295,Kings Waste & Recycling Authority,0,0,0,0,0,0,0,,,,
296,Kingsburg Veterinary Clinic,0,0,0,0,0,1872,0,,,,
297,Kisling Farms,0,0,0,0,0,0,0,,,,
298,Kiwanis Club - Lindsay,0,0,0,0,0,0,0,,,,
299,Kleinfelder West Inc.,0,0,0,0,0,0,0,,,,
300,Kmart,0,0,0,0,0,0,0,,,,
301,KRC Safety,0,0,0,0,0,0,0,,,,
302,KTIP Radio,0,0,0,0,0,631.8,0,,,,
303,KW Engineering,0,0,0,0,0,0,0,,,,
304,La Osa Veterinary Services,0,0,0,0,0,0,0,,,,
305,La Tienda Guild Thrift Shop,0,0,0,0,0,0,0,,,,
306,Lacey Milling Co.,0,0,0,0,0,0,0,,,,
307,Lakeland Dusters Aviation,0,0,0,0,0,0,0,,,,
308,Lamp Liter Inn,0,0,0,0,0,0,0,,,,
309,Land O'Lakes Indl. Cheese,0,0,0,0,0,0,0,,,,
310,Lane Engineers Inc,0,0,0,0,0,0,0,,,,
311,Lawrence Nye Carlson Mechanical Engineers,0,0,0,0,0,0,0,,,,
312,Lemoore Union High School District,0,0,0,0,0,0,0,,,,
313,Leprino Foods - East,0,0,0,0,0,0,0,,,,
314,Leprino Foods - West,0,0,0,0,0,0,0,,,,
315,Lindsay Unified School District,0,0,0,0,0,2761.2,0,,,,
316,Lindsay-Westwood Veterinary,0,0,0,0,0,280.8,0,,,,
317,Linwood Meadows Care Center,0,0,0,0,0,0,0,,,,
318,Lion Raisins,0,0,0,0,0,0,0,,,,
319,Livestock,0,0,0,0,0,0,0,,,,
320,Living Water Clinic,0,0,0,0,0,374.4,0,,,,
321,Lockwood Agency,0,0,0,0,0,0,0,,,,
322,Longview Development,0,0,0,0,0,0,0,,,,
323,LUSD Board,0,0,0,0,0,0,0,,,,
324,"M. Green and Company, LLP",0,0,0,0,0,0,0,,,,
325,Macedo Engineering,0,0,0,0,0,0,0,,,,
326,Mangano Homes,0,0,0,0,0,0,0,,,,
327,Mangini & Associates,0,0,0,0,0,1146.6,0,,,,
328,Manitas de Amor,0,0,0,0,0,0,0,,,,
329,Marinello Schools of Beauty,0,0,0,0,0,0,0,,,,
330,Marquez Brothers,0,0,0,0,0,0,0,,,,
331,Marriott Hotel,0,0,0,0,0,0,0,,,,
332,Marry's Vineyard Shopping Center,0,0,0,0,0,0,0,,,,
333,Marshalls,0,0,0,0,0,1266.525,0,,,,
334,Max's Cookie Co.,0,0,0,0,0,0,0,,,,
335,MBI Powder Coating,0,0,0,0,0,0,0,,,,
336,"McKinley, Scearcy Associates",0,0,0,0,0,0,0,,,,
337,Mclellan Industries & Mclellan Equipment,0,0,0,0,0,0,0,,,,
338,McMaster Media Productions,0,0,0,0,0,0,0,,,,
339,McMillin Homes,0,0,0,0,0,0,0,,,,
340,Melson Realtor,0,0,0,0,0,0,0,,,,
341,Mendez Media Marketing Inc.,0,0,0,0,0,0,0,,,,
342,Mercury Luggage Seward Trunk,0,0,0,0,0,0,0,,,,
343,Merritt Packing,0,0,0,0,0,1404,0,,,,
344,Metz Electric,0,0,0,0,0,0,0,,,,
345,"MGS Construction Services, Inc.",0,0,0,0,0,0,0,,,,
346,Mid Valley Pipe and Supply,0,0,0,0,0,0,0,,,,
347,"Midstate Precast, L.P.",0,0,0,0,0,0,0,,,,
348,Mid-Valley Cotton Growers,0,0,0,0,0,0,0,,,,
349,Migrant Region,0,0,0,0,0,702,0,,,,
350,Mineral King Minerals,0,0,0,0,0,0,0,,,,
351,Mission Hills Mortgage Corp.,0,0,0,0,0,0,0,,,,
352,Mobicanics,0,0,0,0,0,0,0,,,,
353,Mobile Mill,0,0,0,0,0,0,0,,,,
354,Monrovia Nursery Company,0,0,0,0,0,0,0,,,,
355,Monte Vista Ranch,0,0,0,0,0,0,0,,,,
356,Morgan & Slates,0,0,0,0,0,0,0,,,,
357,Morning Star Family Creamery,0,0,0,0,0,0,0,,,,
358,Mountain View Physical Therapy,0,0,0,0,0,1872,0,,,,
359,Mountain View PT,0,0,0,0,0,0,0,,,,
360,Mt. Whitney High School,0,0,0,0,0,0,0,,,,
361,MT. Whitney Packing,0,0,0,0,0,0,0,,,,
362,Murdock Transcriptions,0,0,0,0,0,0,0,,,,
363,National University,0,0,0,0,0,0,0,,,,
364,Naylor Farms,0,0,0,0,0,0,0,,,,
365,Netto Ag Inc.,0,0,0,0,0,0,0,,,,
366,Networks2Action,0,0,0,0,0,0,0,,,,
367,New Covenant Care Center,0,0,0,0,0,0,0,,,,
368,Nichol's Farm,0,0,0,0,0,0,0,,,,
369,"Noell, Agnew & Morse, LLP",0,0,0,0,0,0,0,,,,
370,Northland Process Piping Inc.,0,0,0,0,0,0,0,,,,
371,Northside Shopping Center,0,0,0,0,0,0,0,,,,
372,Norwesco,0,0,0,0,0,0,0,,,,
373,Olam Spices & Vegetables,0,0,0,0,0,0,0,,,,
374,On Prem Solutions Partners,0,0,0,0,0,0,0,,,,
375,Orange Cove Irrigation District,0,0,0,0,0,0,0,,,,
376,Orchard Walk,0,0,0,0,0,0,0,,,,
377,Other ,0,0,0,0,0,0,0,,,,
378,Owen Valley Career Development Center,0,0,0,0,0,0,0,,,,
379,Pacific Stihl,0,0,0,0,0,0,0,,,,
380,Palm Village Retirement Community,0,0,0,0,0,3744,0,,,,
381,Paloma Development,0,0,0,0,0,0,0,,,,
382,Papich Construction,0,0,0,0,0,0,0,,,,
383,"Parmod Kumar, MD",0,0,0,0,0,0,0,,,,
384,Patterson Logistics,0,0,0,0,0,0,0,,,,
385,Peck Planning & Development,0,0,0,0,0,0,0,,,,
386,Pemberton Construction,0,0,0,0,0,0,0,,,,
387,"Pena's Disposal, Inc.",0,0,0,0,0,0,0,,,,
388,Penny Newman Milling,0,0,0,0,0,0,0,,,,
389,Peter G. Cullen & Associates,0,0,0,0,0,0,0,,,,
390,Pioneer Union Elementary School District,0,0,0,0,0,0,0,,,,
391,Pipkin Detective Agency,0,0,0,0,0,0,0,,,,
392,Pitigliano Farms,0,0,0,0,0,0,0,,,,
393,Pizza Planet,0,0,0,0,0,0,0,,,,
394,Plant Nutrition,0,0,0,0,0,0,0,,,,
395,PMI,0,0,0,0,0,0,0,,,,
396,Pork It Farms,0,0,0,0,0,0,0,,,,
397,Porterville Adult Day Services,0,0,0,0,0,0,0,,,,
398,Porterville Believer*s Church,0,0,0,0,0,280.8,0,,,,
399,Porterville Believer's Church,0,0,0,0,0,280.8,0,,,,
400,Porterville College,0,0,0,0,0,0,0,,,,
401,Porterville Collision,0,0,0,0,0,0,0,,,,
402,Porterville Development Center,0,0,0,0,0,0,0,,,,
403,Porterville Fire Department,0,0,0,0,0,0,0,,,,
404,Porterville Medical Reserve Corps,0,0,0,0,0,0,0,,,,
405,Porterville Police Department,0,0,0,0,0,0,0,,,,
406,Porterville Recorder,0,0,0,0,0,0,0,,,,
407,Porterville Sheltered Workshop,0,0,0,0,0,0,0,,,,
408,Porterville Unified School District,0,0,0,0,0,1567.8,0,,,,
409,Porterville Women*s Medical Associates,0,0,0,0,0,0,0,,,,
410,Porterville Youth Football League,0,0,0,0,0,0,0,,,,
411,Poshmark,0,0,0,0,0,0,0,,,,
412,Praxair,0,0,0,0,0,0,0,,,,
413,Private Practice,0,0,0,0,0,0,0,,,,
414,Pro Citrus,0,0,0,0,0,0,0,,,,
415,Proctor-Crookshanks,0,0,0,0,0,0,0,,,,
416,Pro-PT Physical Therapy,0,0,0,0,0,1872,0,,,,
417,Proteus,0,0,0,0,0,13806,0,,,,
418,Provisions Food Co,0,0,0,0,0,0,0,,,,
419,Provost & Pritchard Consulting Group,0,0,0,0,0,0,0,,,,
420,Quad Knopf,0,0,0,0,0,0,0,,,,
421,Quail Park of Visalia,0,0,0,0,0,1161.225,0,,,,
422,Qual Park Retirement Village,0,0,0,0,0,0,0,,,,
423,Quality Machinery,0,0,0,0,0,0,0,,,,
424,Quinn Company,0,0,0,0,0,0,0,,,,
425,R&F Disposal,0,0,0,0,0,0,0,,,,
426,Redwood High School,0,0,0,0,0,0,0,,,,
427,Redwood Veterinary Hospital,0,0,0,0,0,0,0,,,,
428,Reedley College,0,0,0,0,0,0,0,,,,
429,Research 4 Hire,0,0,0,0,0,0,0,,,,
430,Rietkerk Farms,0,0,0,0,592,0,592,Pete,Rietkerk,gpspete2000@yahoo.com,559-381-0861
431,Rising Sun Construction,0,0,0,0,0,0,0,,,,
432,River Island Country Club,0,0,0,0,0,0,0,,,,
433,R-N Market,0,0,0,0,0,0,0,,,,
434,Robinson's Sheet Metal Works,0,0,0,0,0,0,0,,,,
435,Ruiz Food Products Inc.,0,0,0,0,0,0,0,,,,
436,Saint Agnes Medical Center,0,0,0,0,0,0,0,,,,
437,San Joaquin Valley College,0,0,0,0,0,0,0,,,,
438,"Santa Fe Aggregates, Inc.",0,0,0,0,0,0,0,,,,
439,Saputo Cheese and Protein,0,0,0,0,0,0,0,,,,
