Employer	Cash	Equipment	Scholarship	Stipend	Other	Paid Internships	Total	Contact First Name	Contact Last Name	Contact Email	Contact Phone
Corps of Engineers	0	0	0	0	0	1380.6	0				
Country Club Mortgage Inc.	0	0	0	0	0	0	0				
County Pleasures	0	0	0	0	0	702	0				
Crisps Warehouse	0	0	0	0	0	0	0				
Cross Creek Gin	0	0	0	0	14422.6	0	14422.6	Kirk	Gilkey	0	559-816-0175
Cross Street Vet	0	0	0	0	0	0	0				
CSET	0	0	0	0	0	0	0				
CTL-SEE'S Inc.	0	0	0	0	0	0	0				
Curtis Alkire Insurance Services	0	0	0	0	0	0	0				
Cutler-Orosi Joint Unified School District	0	0	0	0	0	0	0				
D&S Service Center	0	0	0	0	0	0	0				
Dairy Solutions	0	0	0	0	0	0	0				
Darden Architects	0	0	0	0	0	0	0				
DASH Therapy	0	0	0	0	0	0	0				
Dayka Hackett	0	0	0	0	0	0	0				
DDS	0	0	0	0	0	0	0				
Del Monte Foods	0	0	0	0	0	0	0				
Dibuduo & Defendis Insurance	0	0	0	0	0	1872	0				
Dickey's Barbecue Pit	0	0	0	0	0	0	0				
Dinuba Children's Services	0	0	0	0	0	0	0				
Dinuba Chiropracter	0	0	0	0	0	0	0				
Dinuba Chiropractic	0	0	0	0	0	0	0				
Dinuba Fire Department	0	0	0	0	0	1872	0				
Dinuba Unified School District	0	0	0	0	0	2562.3	0				
Diversified Dairy Solutions	0	0	0	0	0	0	0				
Diversified Development Group	0	0	0	0	0	0	0				
DMI Agency	0	0	0	0	0	0	0				
Don Thompson Creative Services	0	0	0	0	0	0	0				
"Dooley, Herr, Pedersen & Berglund Bailey, LLP."	0	0	0	0	0	0	0				
"Doug De Leo Welding, Inc"	0	0	0	0	0	0	0				
"Dr. Carlos A. Moraza, DDS"	0	0	0	0	0	0	0				
"Dr. Ian Duncan, MD"	0	0	0	0	0	0	0				
"Dr. Kajori G.Thusu, M.D."	0	0	0	0	0	3744	0				
Dr. Karl J Pendegraft DDS	0	0	0	0	0	0	0				
Dr. Nagrani Kishu M.D.	0	0	0	0	0	1872	0				
"Dr. Shaun Matsumoto, D.C."	0	0	0	0	0	3744	0				
Dr. Thiagarajan Ramu M.D.	0	0	0	0	0	702	0				
"Dr. Timothy Suorsa, O.D."	0	0	0	0	0	702	0				
Dr. Togrol Saljoughy M.D.	0	0	0	0	0	702	0				
Duarte Nursery	0	0	0	0	0	0	0				
Durango Packing	0	0	0	0	0	0	0				
Eagle Mountain Casino	0	0	0	0	0	0	0				
EBM Designs Group	0	0	0	0	0	0	0				
El Diamante High School	0	0	0	0	0	0	0				
El Futuro Credit Union	0	0	0	0	0	0	0				
El Quinto Sol de America	0	0	0	0	0	2901.6	0				
El Taco Rico	0	0	0	0	0	1755	0				
Employer	0	0	0	0	0	0	0				
Employment Connection	0	0	0	0	0	936	0				
Enns Packing Co.	0	0	0	0	0	0	0				
Envision	0	0	0	0	0	234	0				
Evergreen Residence Assisted Living & Alzheimer's Care	0	0	0	0	0	0	0				
Evermoore Films	0	0	0	0	0	0	0				
"Exeter Engineering, Inc"	0	0	0	0	0	3276	0				
Exeter Police Department	0	0	0	0	0	0	0				
Exopack	0	0	0	0	0	0	0				
Experimental Aircraft Association	0	0	0	0	0	0	0				
Fagundes Agribusiness	0	0	0	0	0	0	0				
Family Health Care Network	0	0	0	0	0	0	0				
Farmers Insurance Group	0	0	0	0	0	1287	0				
Fashion Trend	0	0	0	0	0	702	0				
FAST Credit Union	0	0	0	0	0	0	0				
Fernandez Insurance Agency	0	0	0	0	0	1123.2	0				
Fernjo Farms	0	0	0	0	0	0	0				
Finance and Thrift	0	0	0	0	0	0	0				
"Financial Credit Network, Inc."	0	0	0	0	0	0	0				
Fisher Metal Products	0	0	0	0	0	0	0				
Forcum Mackey Construction	0	0	0	0	0	0	0				
"Frank M Alvarez, MD"	0	0	0	0	0	0	0				
Franks Automotive	0	0	0	0	0	0	0				
"Fred H. Buettner, DDS, Inc"	0	0	0	0	0	0	0				
Fresno Chaffee Zoo	0	0	0	0	0	0	0				
Fresno City College	0	0	0	0	0	0	0				
Fresno County Office of Education	0	0	0	0	0	0	0				
Fresno Pacific University	0	0	0	0	0	0	0				
Fresno Surgical Center	0	0	0	0	0	0	0				
Fruit Patch Inc.	0	0	0	0	0	0	0				
Fun Flicks	0	0	0	0	0	0	0				
Galaxy 9 Theater	0	0	0	0	0	0	0				
Galaxy Theatres	0	0	0	0	0	1123.2	0				
Garcia Manufacturing	0	0	0	0	0	0	0				
Gateway Plaza	0	0	0	0	0	0	0				
Generations Photography Studios	0	0	0	0	0	0	0				
Gilkey Enterprises	0	0	0	0	0	0	0				
Gist Farms	0	0	0	0	0	0	0				
Glee Set Designer	0	0	0	0	0	0	0				
GMMB	0	0	0	0	0	702	0				
Golden West High School	0	0	0	0	0	0	0				
GRID Alternatives	0	0	0	0	0	187.2	0				
"Griswold, LaSalle, Cobb, Dowd & Gin LLP."	0	0	0	0	0	0	0				
Groppetti Automotive	0	0	0	0	0	0	0				
Grubb & Ellis/Pearson Commercial	0	0	0	0	0	0	0				
Guardian Safety and Supply	0	0	0	0	0	0	0				
GWF Power Systems	0	0	0	0	0	0	0				
Habitat for Humanity	0	0	0	0	0	0	0				
Hampton Inn	0	0	0	0	0	0	0				
Hanford Elementary School District	0	0	0	0	0	0	0				
Hanford Sentinel	0	0	0	0	0	0	0				
Hansen Farms	0	0	0	0	8880	0	8880	Erik	Hansen	erik@hansenranches.com	559-303-5321
Hanson Travel Ideas	0	0	0	0	0	702	0				
Happy Trails Riding Academy	0	0	0	0	0	0	0				
Hart and Cooley	0	0	0	0	0	0	0				
Helena Chemical Co.	0	0	0	0	0	0	0				
Hellwig Manufacturing	0	0	0	0	0	0	0				
Helping Hands Porterville	0	0	0	0	0	0	0				
Heritage Realtors & Property Management	0	0	0	0	0	0	0				
Hernandez Concrete	0	0	0	0	0	0	0				
High-Speed Rail Authority	0	0	0	0	0	0	0				
Hillman Building Designers	0	0	0	0	0	0	0				
Hilti North America	0	0	0	0	0	0	0				
Hoagie*s Heroes	0	0	0	0	0	702	0				
Hoagie's Heroes	0	0	0	0	0	702	0				
Holy Names University	0	0	0	0	0	0	0				
Homac Mfg.	0	0	0	0	0	0	0				
Home Realty & Land Company	0	0	0	0	0	0	0				
"Homegrown Farms, AgriCare"	0	0	0	0	0	0	0				
Homes for Rent	0	0	0	0	0	936	0				
Hoops Preschool	0	0	0	0	0	0	0				
Hyde Commercial Real Estate	0	0	0	0	0	0	0				
Hydrite Chemical Co.	0	0	0	0	0	0	0				
"Ignite Events, Inc"	0	0	0	0	0	0	0				
Imagine Community Arts Center	0	0	0	0	0	6294.6	0				
ImMODO Energy	0	0	0	0	0	0	0				
Imperial Ambulance	0	0	0	0	0	0	0				
INNOVATE-TK	348362	0	0	0	0	0	348362	Randy	Wallace	0	0
Integrated Forest Management	0	0	0	0	0	3744	0				
Intergrated Grain & Milling	0	0	0	0	0	0	0				
International Agri-Center	0	0	0	0	0	0	0				
International Paper	0	0	0	0	0	0	0				
Iron Horse Designs	0	0	0	0	0	0	0				
ITC	0	0	0	0	0	702	0				
J.D. Heiskell & Co.	0	0	0	0	0	0	0				
Jack & Charlie's Restaurant	0	0	0	0	0	0	0				
Jenny Lynn*s Café	0	0	0	0	0	0	0				
Jenny Lynn's Cafe	0	0	0	0	0	1404	0				
JG Boswell	0	600	0	0	16067	0	16667	Gary	Lindley	glindley@jgboswell.com	559-816-4002
JM Eagle	0	0	0	0	0	0	0				
JMPE Electrical Engineering & Lighting Design	0	0	0	0	0	0	0				
Jo-Ann Stores Distribution Center	0	0	0	0	0	0	0				
Joel Picar Farm Labor Contracting	0	0	0	0	0	2340	0				
Jostens	0	0	0	0	0	0	0				
"Kahn, Soares & Conway, LLP."	0	0	0	0	0	0	0				
Kaweah Delta - Lindsay Health Clinic	0	0	0	0	0	0	0				
Kaweah Delta Health Care District	0	0	0	0	0	0	0				
Kaweah Delta Health Care District - Rehabilitation Hospital	0	0	0	0	0	0	0				
Kaweah Manor Convalescent Home	0	0	0	0	0	0	0				
Kawneer	0	0	0	0	0	0	0				
Kearney Agricultural Center	0	0	0	0	0	0	0				
Keenan Farms	0	0	0	0	0	0	0				
Keller Ford Lincoln	0	0	0	0	0	0	0				
Keller Williams Westland Realty	0	0	0	0	0	1404	0				
Ken's Stakes and Supplies	0	0	0	0	0	0	0				
Kings Canyon National Park	0	0	0	0	0	0	0				
Kings County Administration	0	0	0	0	0	0	0				
Kings County Club	0	0	0	0	0	0	0				
Kings County Economic Development Corporation	0	0	0	0	0	0	0				
Kings County Job Training Office	0	0	0	0	0	0	0				
Kings County Office of Education - ROP	0	0	0	0	0	0	0				
"Kings Mortgage Services, Inc."	0	0	0	0	0	0	0				
Kings River Admin	0	0	0	0	0	0	0				
Kings River Produce	0	0	0	0	0	0	0				
Kings Waste & Recycling Authority	0	0	0	0	0	0	0				
Kingsburg Veterinary Clinic	0	0	0	0	0	1872	0				
Kisling Farms	0	0	0	0	0	0	0				
Kiwanis Club - Lindsay	0	0	0	0	0	0	0				
Kleinfelder West Inc.	0	0	0	0	0	0	0				
Kmart	0	0	0	0	0	0	0				
KRC Safety	0	0	0	0	0	0	0				
KTIP Radio	0	0	0	0	0	631.8	0				
KW Engineering	0	0	0	0	0	0	0				
La Osa Veterinary Services	0	0	0	0	0	0	0				
La Tienda Guild Thrift Shop	0	0	0	0	0	0	0				
Lacey Milling Co.	0	0	0	0	0	0	0				
Lakeland Dusters Aviation	0	0	0	0	0	0	0				
Lamp Liter Inn	0	0	0	0	0	0	0				
Land O'Lakes Indl. Cheese	0	0	0	0	0	0	0				
Lane Engineers Inc	0	0	0	0	0	0	0				
Lawrence Nye Carlson Mechanical Engineers	0	0	0	0	0	0	0				
Lemoore Union High School District	0	0	0	0	0	0	0				
Leprino Foods - East	0	0	0	0	0	0	0				
Leprino Foods - West	0	0	0	0	0	0	0				
Lindsay Unified School District	0	0	0	0	0	2761.2	0				
Lindsay-Westwood Veterinary	0	0	0	0	0	280.8	0				
Linwood Meadows Care Center	0	0	0	0	0	0	0				
Lion Raisins	0	0	0	0	0	0	0				
Livestock	0	0	0	0	0	0	0				
Living Water Clinic	0	0	0	0	0	374.4	0				
Lockwood Agency	0	0	0	0	0	0	0				
Longview Development	0	0	0	0	0	0	0				
LUSD Board	0	0	0	0	0	0	0				
"M. Green and Company, LLP"	0	0	0	0	0	0	0				
Macedo Engineering	0	0	0	0	0	0	0				
Mangano Homes	0	0	0	0	0	0	0				
Mangini & Associates	0	0	0	0	0	1146.6	0				
Manitas de Amor	0	0	0	0	0	0	0				
Marinello Schools of Beauty	0	0	0	0	0	0	0				
Marquez Brothers	0	0	0	0	0	0	0				
Marriott Hotel	0	0	0	0	0	0	0				
Marry's Vineyard Shopping Center	0	0	0	0	0	0	0				
Marshalls	0	0	0	0	0	1266.525	0				
Max's Cookie Co.	0	0	0	0	0	0	0				
MBI Powder Coating	0	0	0	0	0	0	0				
"McKinley, Scearcy Associates"	0	0	0	0	0	0	0				
Mclellan Industries & Mclellan Equipment	0	0	0	0	0	0	0				
McMaster Media Productions	0	0	0	0	0	0	0				
McMillin Homes	0	0	0	0	0	0	0				
Melson Realtor	0	0	0	0	0	0	0				
Mendez Media Marketing Inc.	0	0	0	0	0	0	0				
Mercury Luggage Seward Trunk	0	0	0	0	0	0	0				
Merritt Packing	0	0	0	0	0	1404	0				
Metz Electric	0	0	0	0	0	0	0				
"MGS Construction Services, Inc."	0	0	0	0	0	0	0				
Mid Valley Pipe and Supply	0	0	0	0	0	0	0				
"Midstate Precast, L.P."	0	0	0	0	0	0	0				
Mid-Valley Cotton Growers	0	0	0	0	0	0	0				
Migrant Region	0	0	0	0	0	702	0				
Mineral King Minerals	0	0	0	0	0	0	0				
Mission Hills Mortgage Corp.	0	0	0	0	0	0	0				
Mobicanics	0	0	0	0	0	0	0				
Mobile Mill	0	0	0	0	0	0	0				
Monrovia Nursery Company	0	0	0	0	0	0	0				
Monte Vista Ranch	0	0	0	0	0	0	0				
Morgan & Slates	0	0	0	0	0	0	0				
Morning Star Family Creamery	0	0	0	0	0	0	0				
Mountain View Physical Therapy	0	0	0	0	0	1872	0				
Mountain View PT	0	0	0	0	0	0	0				
Mt. Whitney High School	0	0	0	0	0	0	0				
MT. Whitney Packing	0	0	0	0	0	0	0				
Murdock Transcriptions	0	0	0	0	0	0	0				
National University	0	0	0	0	0	0	0				
Naylor Farms	0	0	0	0	0	0	0				
Netto Ag Inc.	0	0	0	0	0	0	0				
Networks2Action	0	0	0	0	0	0	0				
New Covenant Care Center	0	0	0	0	0	0	0				
Nichol's Farm	0	0	0	0	0	0	0				
"Noell, Agnew & Morse, LLP"	0	0	0	0	0	0	0				
Northland Process Piping Inc.	0	0	0	0	0	0	0				
Northside Shopping Center	0	0	0	0	0	0	0				
Norwesco	0	0	0	0	0	0	0				
Olam Spices & Vegetables	0	0	0	0	0	0	0				
On Prem Solutions Partners	0	0	0	0	0	0	0				
Orange Cove Irrigation District	0	0	0	0	0	0	0				
Orchard Walk	0	0	0	0	0	0	0				
Other 	0	0	0	0	0	0	0				
Owen Valley Career Development Center	0	0	0	0	0	0	0				
Pacific Stihl	0	0	0	0	0	0	0				
Palm Village Retirement Community	0	0	0	0	0	3744	0				
Paloma Development	0	0	0	0	0	0	0				
Papich Construction	0	0	0	0	0	0	0				
"Parmod Kumar, MD"	0	0	0	0	0	0	0				
Patterson Logistics	0	0	0	0	0	0	0				
Peck Planning & Development	0	0	0	0	0	0	0				
Pemberton Construction	0	0	0	0	0	0	0				
"Pena's Disposal, Inc."	0	0	0	0	0	0	0				
Penny Newman Milling	0	0	0	0	0	0	0				
Peter G. Cullen & Associates	0	0	0	0	0	0	0				
Pioneer Union Elementary School District	0	0	0	0	0	0	0				
Pipkin Detective Agency	0	0	0	0	0	0	0				
Pitigliano Farms	0	0	0	0	0	0	0				
Pizza Planet	0	0	0	0	0	0	0				
Plant Nutrition	0	0	0	0	0	0	0				
PMI	0	0	0	0	0	0	0				
Pork It Farms	0	0	0	0	0	0	0				
Porterville Adult Day Services	0	0	0	0	0	0	0				
Porterville Believer*s Church	0	0	0	0	0	280.8	0				
Porterville Believer's Church	0	0	0	0	0	280.8	0				
Porterville College	0	0	0	0	0	0	0				
Porterville Collision	0	0	0	0	0	0	0				
Porterville Development Center	0	0	0	0	0	0	0				
Porterville Fire Department	0	0	0	0	0	0	0				
Porterville Medical Reserve Corps	0	0	0	0	0	0	0				
Porterville Police Department	0	0	0	0	0	0	0				
Porterville Recorder	0	0	0	0	0	0	0				
Porterville Sheltered Workshop	0	0	0	0	0	0	0				
Porterville Unified School District	0	0	0	0	0	1567.8	0				
Porterville Women*s Medical Associates	0	0	0	0	0	0	0				
Porterville Youth Football League	0	0	0	0	0	0	0				
Poshmark	0	0	0	0	0	0	0				
Praxair	0	0	0	0	0	0	0				
Private Practice	0	0	0	0	0	0	0				
Pro Citrus	0	0	0	0	0	0	0				
Proctor-Crookshanks	0	0	0	0	0	0	0				
Pro-PT Physical Therapy	0	0	0	0	0	1872	0				
Proteus	0	0	0	0	0	13806	0				
Provisions Food Co	0	0	0	0	0	0	0				
Provost & Pritchard Consulting Group	0	0	0	0	0	0	0				
Quad Knopf	0	0	0	0	0	0	0				
Quail Park of Visalia	0	0	0	0	0	1161.225	0				
Qual Park Retirement Village	0	0	0	0	0	0	0				
Quality Machinery	0	0	0	0	0	0	0				
Quinn Company	0	0	0	0	0	0	0				
R&F Disposal	0	0	0	0	0	0	0				
Redwood High School	0	0	0	0	0	0	0				
Redwood Veterinary Hospital	0	0	0	0	0	0	0				
Reedley College	0	0	0	0	0	0	0				
Research 4 Hire	0	0	0	0	0	0	0				
Rietkerk Farms	0	0	0	0	592	0	592	Pete	Rietkerk	gpspete2000@yahoo.com	559-381-0861
Rising Sun Construction	0	0	0	0	0	0	0				
River Island Country Club	0	0	0	0	0	0	0				
R-N Market	0	0	0	0	0	0	0				
Robinson's Sheet Metal Works	0	0	0	0	0	0	0				
Ruiz Food Products Inc.	0	0	0	0	0	0	0				
Saint Agnes Medical Center	0	0	0	0	0	0	0				
San Joaquin Valley College	0	0	0	0	0	0	0				
"Santa Fe Aggregates, Inc."	0	0	0	0	0	0	0				
Saputo Cheese and Protein	0	0	0	0	0	0	0				
Sawtelle & Rosprim Machine Shop	0	0	0	0	0	0	0				
Schneider Electric/Pelco	0	0	0	0	0	0	0				
Screen Printing & Embroidery	0	0	0	0	0	0	0				
Screw Conveyor Corp	0	0	0	0	0	0	0				
Seals and Biehle Contractors	0	0	0	0	0	0	0				
Security First Alarm King	0	0	0	0	0	0	0				
SEE Youth	0	0	0	0	0	0	0				
Sensation Banton & Dance Company	0	0	0	0	0	0	0				
Sepmra Energy	0	0	0	0	0	0	0				
Sequoia Beverage Company	0	0	0	0	0	0	0				
Sequoia National Forest	0	0	0	0	0	0	0				
Sequoia Prothstetics	0	0	0	0	0	0	0				
Sequoia Riverlands Trust	0	0	0	0	0	0	0				
Sequoia Safety Council	0	0	0	0	0	0	0				
Sequoia Surgery Center	0	0	0	0	0	0	0				
Sequoia Youth Football League	0	0	0	0	0	1053	0				
Serpa Packagining Solutions	0	0	0	0	0	0	0				
Service Master	0	0	0	0	0	0	0				
Service Spring Corp	0	0	0	0	0	0	0				
Setton Farms	0	0	0	0	0	0	0				
SF Academy of Art	0	0	0	0	0	0	0				
SGI Construction Management	0	0	0	0	0	0	0				
Shannon Farming	0	0	0	0	0	0	0				
Sheldon Ranches	0	0	0	0	0	0	0				
Sid Carter Sr Master Uphlstry	0	0	0	0	0	0	0				
Sierra Forest Products	0	0	0	0	0	0	0				
Sierra View District Hospital	0	0	0	0	0	0	0				
"Silveira's Ground Service, Inc."	0	0	0	0	0	0	0				
SK Foods	0	0	0	0	0	0	0				
Smart & Final	0	0	0	0	0	2808	0				
SmithCare	0	0	0	0	0	0	0				
Sol Power Construction	0	0	0	0	0	0	0				
Sorensen Chiropractic & Massage	0	0	0	0	0	1872	0				
Sousa Farms	0	0	0	0	0	0	0				
"South Valley Materials, Inc."	0	0	0	0	0	0	0				
Southern California Edison	0	0	0	0	0	0	0				
Southern California Gas Company	0	0	0	0	0	0	0				
SS Shirts	0	0	0	0	0	0	0				
St Anne's Parish	0	0	0	0	0	0	0				
St. Clement's Day Care Center	0	0	0	0	0	0	0				
Staci Welch Photography	0	0	0	0	0	0	0				
Stan*s Enterprises	0	0	0	0	0	0	0				
Stan's Enterprises	0	0	0	0	0	0	0				
"Staples, Inc."	0	0	0	0	0	0	0				
Star Roses	0	0	0	0	0	0	0				
Starbucks	0	0	0	0	0	0	0				
State Farm Insurance	0	0	0	0	0	0	0				
"Steven J. Lessley, OD"	0	0	0	0	0	0	0				
Stifel-Nicolaus	0	0	0	0	0	0	0				
Strathmore Public Utilities District	0	0	0	0	0	0	0				
Strathmore Union Elementary School District	0	0	0	0	0	2340	0				
Subway	0	0	0	0	0	2106	0				
Sun Pacific	0	0	0	0	0	0	0				
Suncrest Bank	0	0	0	0	0	0	0				
Sundowner Solar	0	0	0	0	0	0	0				
Sun-Maid	0	0	0	0	0	0	0				
SunPower	0	0	0	0	0	0	0				
Suntreat	0	0	0	0	0	0	0				
"Superior Court of California, County of Tulare"	0	0	0	0	0	0	0				
Surabian & Sons	0	0	0	0	0	0	0				
Tachi Palace Hotel & Casion	0	0	0	0	0	0	0				
Taco Bell	0	0	0	0	0	1287	0				
TCOVE - Health Science	0	0	0	0	0	0	0				
Telfer & Son's Construction	0	0	0	0	0	0	0				
Telstar Instruments Inc.	0	0	0	0	0	0	0				
Tenalu	0	0	0	0	0	0	0				
Tenalu Farms	0	0	0	0	0	0	0				
Termite Manufacturing	0	0	0	0	0	0	0				
Terra Bella Union Elementary School District	0	0	0	0	0	0	0				
Terrio Theraphy Fitness	0	0	0	0	0	0	0				
"Teter, LLC"	0	0	0	0	0	0	0				
The Allen Group	0	0	0	0	0	0	0				
The Auto Shop	0	0	0	0	0	0	0				
The Foothills Sun-Gazette	0	0	0	0	0	0	0				
The Lockwood Agency	0	0	0	0	0	0	0				
The Meadows	0	0	0	0	0	1170	0				
The Southern Pacific Depot Restuarnat	0	0	0	0	0	0	0				
The Village Shopping Center	0	0	0	0	0	0	0				
The Vintage Press	0	0	0	0	0	0	0				
Thiele Technologies	0	0	0	0	0	0	0				
Thomas Creeks Farms	0	0	0	0	0	0	0				
"Thresher Industries, LLC."	0	0	0	0	0	0	0				
Timothy Suorsa OD	0	0	0	0	0	0	0				
Tom's Body and Paint	0	0	0	0	0	0	0				
Tony's Pizza	0	0	0	0	0	0	0				
Torian Group	0	0	0	0	0	0	0				
